id,日期,录播来源,录播片段编号,起始时间点,结束时间点,文件名,文件类型,歌名,版本号,版本备注,中文歌名,原曲艺术家,演唱者,演唱状态,语言,备注,参考路灯man,有没有音频,切片源,有没有第二版本
A000037,2021.01.10,BV1o54y1x7ba,,0,261312, 爱的华尔兹,mp3,爱的华尔兹,,,,"排骨教主,KBShinya",嘉然,完整, 汉语,,,TRUE,,FALSE
A000038,2021.01.14,BV17p4y1x76K,,0,143808, 星屑ビーナス,mp3,星屑ビーナス,,,星尘中的维纳斯,,贝拉,完整, 日语,,,TRUE,,FALSE
A000039,2021.01.14,BV17p4y1x76K,,0,143304, 星屑ビーナス2.0,mp3,星屑ビーナス,2.0,,星尘中的维纳斯,,贝拉,完整, 日语,,,TRUE,,FALSE
A000040,2021.01.15,BV1Sv411W7uz,,0,253680, 十万毫升泪水,mp3,十万毫升泪水,,,,蔡健雅,珈乐,完整, 汉语,,,TRUE,,FALSE
A000041,2021.01.15,BV1Sv411W7uz,,0,166680, 暖暖,mp3,暖暖,,,,,乃琳,完整, 汉语,,,TRUE,,FALSE
A000042,2021.01.16,BV1Zf4y1r7Re,,0,262560, 忽然之间,mp3,忽然之间,,,,阿虾,乃琳,完整, 汉语,,,TRUE,,FALSE
A000043,2021.01.16,BV1Zf4y1r7Re,,0,312984, 水星记 2.0,mp3,水星记,2.0,,,郭顶,乃琳,完整, 汉语,,,TRUE,,FALSE
A000044,2021.01.16,BV1Zf4y1r7Re,,0,315600, 水星记,mp3,水星记,,,,郭顶,乃琳,完整, 汉语,,,TRUE,,FALSE
A000045,2021.01.16,BV1Zf4y1r7Re,,0,233544, 陪我长大,mp3,陪我长大,,,,段奥娟,乃琳,完整, 汉语,,,TRUE,,FALSE
A000046,2021.01.22,BV1ft4y1z7zH,,0,180648, Fly Me To The Moon,mp3,Fly Me To The Moon,,,,Nancy Wilson,贝拉,完整, 英语,,,TRUE,,FALSE
A000047,2021.01.22,BV1ft4y1z7zH,,0,232440, 素颜,mp3,素颜,,,,"许嵩,何曼婷","珈乐,嘉然",完整, 汉语,,,TRUE,,FALSE
A000048,2021.01.22,BV1ft4y1z7zH,,0,177240, 马马嘟嘟骑,mp3,马马嘟嘟骑,,,,斯斯与帆,珈乐,完整, 汉语,,,TRUE,,FALSE
A000049,2021.01.23,BV1ty4y1p7rm,,0,327792, 勇气,mp3,勇气,,,,光良,乃琳,完整, 汉语,,,TRUE,,FALSE
A000050,2021.01.23,BV1ty4y1p7rm,,0,246312, 喜欢你,mp3,喜欢你,,,,G.E.M. 邓紫棋,乃琳,完整, 汉语,,,TRUE,,FALSE
A000051,2021.01.23,BV1ty4y1p7rm,,0,289272, 我喜欢,mp3,我喜欢,,,,梁静茹,乃琳,完整, 汉语,,,TRUE,,FALSE
A000052,2021.01.23,BV1ty4y1p7rm,,0,286680, 我喜欢2.0,mp3,我喜欢,2.0,,,梁静茹,乃琳,完整, 汉语,,,TRUE,,FALSE
A000053,2021.01.23,BV1ty4y1p7rm,,0,197328, 我多喜欢你，你会知道,mp3,我多喜欢你，你会知道,,,,王俊琪,乃琳,完整, 汉语,,,TRUE,,FALSE
A000054,2021.01.24,BV16v4y1f7mS,,0,238656, 万有引力 2.5,mp3,万有引力,2.5,,,汪苏泷,向晚,完整, 汉语,,,TRUE,,FALSE
A000055,2021.01.24,BV16v4y1f7mS,,0,182928, 青柠 2.0,mp3,青柠,2.0,,,蓝七七,向晚,完整, 日语,,,TRUE,,FALSE
A000056,2021.01.28,BV1qr4y1K7R5,,0,338904, 鳥の詩,mp3,鳥の詩,,,,Lia (りあ),贝拉,完整, 日语,,,TRUE,,FALSE
A000057,2021.01.29,BV1Ht4y1B7hj,,0,183504, A Little Love,mp3,A Little Love,,,,冯曦妤,嘉然,完整, 英语,,,TRUE,,FALSE
A000058,2021.01.29,BV1Ht4y1B7hj,,0,201168, Love Lane,mp3,Love Lane,,,,MAMAMOO (마마무),贝拉,完整, 汉语,,,TRUE,,FALSE
A000059,2021.01.29,BV1Ht4y1B7hj,,0,202608, カタオモイ,mp3,カタオモイ,,,单相思,Aimer (エメ),向晚,完整, 日语,,,TRUE,,FALSE
A000060,2021.01.29,BV1Ht4y1B7hj,,0,320592, 你啊你啊,mp3,你啊你啊,,,,魏如萱,珈乐,完整, 汉语,,,TRUE,,FALSE
A000061,2021.01.29,BV1Ht4y1B7hj,,0,254136, 当你,mp3,当你,,,,林俊杰,乃琳,完整, 汉语,,,TRUE,,FALSE
