id,日期,录播来源,录播片段编号,起始时间点,结束时间点,文件名,文件类型,歌名,版本号,版本备注,中文歌名,原曲艺术家,演唱者,演唱状态,语言,备注,参考路灯man,有没有音频,切片源,有没有第二版本
A000159,2021.04.01,BV1nU4y1Y7WX,,0,221280, 后会无期 4.0,mp3,后会无期,4.0,,,"汪苏泷,徐良",乃琳,完整, 汉语,,,TRUE,,FALSE
A000160,2021.04.01,BV1nU4y1Y7WX,,0,258936, 宠爱 3.0,mp3,宠爱,3.0,,,TFBOYS,"向晚,乃琳",完整, 汉语,,,TRUE,,FALSE
A000161,2021.04.01,BV1nU4y1Y7WX,,0,242208, 我只在乎你,mp3,我只在乎你,,,,邓丽君,"贝拉,珈乐",完整, 汉语,,,TRUE,,FALSE
A000162,2021.04.01,BV1nU4y1Y7WX,,0,162720, 挥着翅膀的女孩,mp3,挥着翅膀的女孩,,,,容祖儿,"向晚,嘉然",完整, 汉语,,,TRUE,,FALSE
A000163,2021.04.02,BV1eh411D78N,,0,183528, Fly Me To The Moon 2.0,mp3,Fly Me To The Moon,2.0,,,Nancy Wilson,贝拉,完整, 英语,,,TRUE,,FALSE
A000164,2021.04.02,BV1eh411D78N,,0,227160, 你的甜蜜,mp3,你的甜蜜,,,,范晓萱,嘉然,完整, 汉语,,,TRUE,,FALSE
A000165,2021.04.02,BV1eh411D78N,,0,166344, 圈住你,mp3,圈住你,,,,一口甜,向晚,完整, 汉语,,,TRUE,,FALSE
A000166,2021.04.02,BV1eh411D78N,,0,172440, 失恋阵线联盟,mp3,失恋阵线联盟,,,,草蜢,A-SOUL,完整, 汉语,,,TRUE,,FALSE
A000167,2021.04.02,BV1eh411D78N,,0,287688, 月半小夜曲 2.0,mp3,月半小夜曲,2.0,,,李克勤,乃琳,完整, 汉语,,,TRUE,,FALSE
A000168,2021.04.02,BV1eh411D78N,,0,93552, 爱河,mp3,爱河,,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000169,2021.04.02,BV1eh411D78N,,0,214704, 红色高跟鞋,mp3,红色高跟鞋,,,,蔡健雅,珈乐,完整, 汉语,,,TRUE,,FALSE
A000170,2021.04.07,BV1fZ4y1F7DU,,0,86208, 偏爱,mp3,偏爱,,,,,珈乐,完整, 汉语,,,TRUE,,FALSE
A000171,2021.04.07,BV1fZ4y1F7DU,,0,207336, 桃花朵朵开,mp3,桃花朵朵开,,,,阿牛,珈乐,完整, 汉语,,,TRUE,,FALSE
A000172,2021.04.07,BV1p64y1S7s8,,0,166488, 迷迭香 2.0,mp3,迷迭香,2.0,,,龚琳娜,乃琳,完整, 汉语,,,TRUE,,FALSE
A000173,2021.04.08,BV1bA411L7v6,,0,277944, 終わらない詩,mp3,終わらない詩,,,,日笠阳子 (ひかさ ようこ),贝拉,完整, 日语,,,TRUE,,FALSE
A000174,2021.04.08,BV1bA411L7v6,,0,270288, 让我轻轻地告诉你,mp3,让我轻轻地告诉你,,,,周虹,贝拉,完整, 汉语,,,TRUE,,FALSE
A000175,2021.04.09,BV1pi4y1A7Fa,,0,121416, ヘビーローテーション,mp3,ヘビーローテーション,,,无尽重播,,贝拉,完整, 日语,,,TRUE,,FALSE
A000176,2021.04.09,BV1pi4y1A7Fa,,0,261216, 不可思议 2.0,mp3,不可思议,2.0,,,金莎,嘉然,完整, 汉语,,,TRUE,,FALSE
A000177,2021.04.09,BV1pi4y1A7Fa,,0,197760, 好想要牵你的手,mp3,好想要牵你的手,,,,一口甜,乃琳,完整, 汉语,,,TRUE,,FALSE
A000178,2021.04.09,BV1pi4y1A7Fa,,0,193584, 稍息立正站好,mp3,稍息立正站好,,,,范晓萱,A-SOUL,完整, 汉语,,,TRUE,,FALSE
A000179,2021.04.10,BV1BK411F7Rw,,0,249408, 心愿便利贴,mp3,心愿便利贴,,,,"元若蓝,大Q秉洛",A-SOUL,完整, 汉语,,,TRUE,,FALSE
A000180,2021.04.11,BV1rp4y187QF,,0,184704, 他不爱我,mp3,他不爱我,,,,,"向晚,乃琳",完整, 汉语,,,TRUE,,FALSE
A000181,2021.04.11,BV1rp4y187QF,,0,170856, 心愿便利贴 2.0,mp3,心愿便利贴,2.0,,,王欣宇,"向晚,乃琳",完整, 汉语,,,TRUE,,FALSE
A000182,2021.04.14,BV1mZ4y1c7Ti,,0,214080, 迷宫,mp3,迷宫,,,,王若琳,乃琳,完整, 汉语,,,TRUE,,FALSE
A000183,2021.04.15,BV1dZ4y1c7hk,,0,261816, 不可思议 3.0,mp3,不可思议,3.0,,,金莎,嘉然,完整, 汉语,,,TRUE,,FALSE
A000184,2021.04.16,BV1EK411F7Hy,,0,233640, The Lazy Song,mp3,The Lazy Song,,,,Tabata Music,向晚,完整, 英语,,,TRUE,,FALSE
A000185,2021.04.16,BV1EK411F7Hy,,0,113184, 晚安喵,mp3,晚安喵,,,,艾索,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000186,2021.04.16,BV1EK411F7Hy,,0,251160, 迷迭香 3.0,mp3,迷迭香,3.0,,,周杰伦,乃琳,完整, 汉语,,,TRUE,,FALSE
A000187,2021.04.18,BV1JV411J7Kr,,0,78936, 鸽子 3.0,mp3,鸽子,3.0,,,,"向晚,乃琳",完整, 汉语,,,TRUE,,FALSE
A000188,2021.04.22,BV1Q54y1L7nu,,0,239184, 情花,mp3,情花,,,,本兮,嘉然,完整, 汉语,,,TRUE,,FALSE
A000189,2021.04.24,BV1gK411c7cM,,0,193128, 夏天的风,mp3,夏天的风,,,,旺仔小乔,"向晚,贝拉,嘉然",完整, 汉语,,,TRUE,,FALSE
A000190,2021.04.24,BV1gK411c7cM,,0,193368, 星星,mp3,星星,,,,汪苏泷,"向晚,贝拉,嘉然",完整, 汉语,,,TRUE,,FALSE
A000191,2021.04.28,BV1f84y1F7ij,,0,170136, 倔强,mp3,倔强,,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000192,2021.04.28,BV1f84y1F7ij,,0,106392, 我又初恋了,mp3,我又初恋了,,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000193,2021.04.28,BV1f84y1F7ij,,0,194040, 温柔,mp3,温柔,,,,杨吉露,向晚,完整, 汉语,,,TRUE,,FALSE
A000194,2021.04.28,BV1f84y1F7ij,,0,351096, 知足,mp3,知足,,,,五月天,向晚,完整, 汉语,,,TRUE,,FALSE
A000195,2021.05.03,BV1jf4y1W7ry,,0,268368, 外面的世界,mp3,外面的世界,,,,莫文蔚,乃琳,完整, 汉语,,,TRUE,,FALSE
A000196,2021.05.04,BV1Yy4y1p7i6,,0,123912, 晚安喵 2.0,mp3,晚安喵,2.0,,,艾索,嘉然,完整, 汉语,,,TRUE,,FALSE
A000197,2021.05.07,BV1XK4y1w76y,,0,166296, 好像掉进爱情海里 3.0,mp3,好像掉进爱情海里,3.0,,,,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000198,2021.05.07,BV1XK4y1w76y,,0,221400, 日不落,mp3,日不落,,,,蔡依林,乃琳,完整, 汉语,,,TRUE,,FALSE
A000199,2021.05.08,BV1Uq4y1f7jd,,0,171480, 虫儿飞,mp3,虫儿飞,,,,宋小睿,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000200,2021.05.09,BV1BK4y1d7hv,,0,212016, 九十九次我爱他,mp3,九十九次我爱他,,,,元若蓝,向晚,完整, 汉语,,,TRUE,,FALSE
A000201,2021.05.09,BV1BK4y1d7hv,,0,214128, 告白气球,mp3,告白气球,,,,周杰伦,乃琳,完整, 汉语,,,TRUE,,FALSE
A000202,2021.05.09,BV1BK4y1d7hv,,0,204504, 爱X无限大,mp3,爱X无限大,,,,洛晴,嘉然,完整, 汉语,,,TRUE,,FALSE
A000203,2021.05.13,BV1Vp4y1t764,,0,242712, Wonderful U,mp3,Wonderful U,,,,AGA,"贝拉,乃琳",完整, 英语,,,TRUE,,FALSE
A000204,2021.05.13,BV1Vp4y1t764,,0,240624, 亲爱的旅人啊 2.0,mp3,亲爱的旅人啊,2.0,,,周深,"贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000205,2021.05.13,BV1Vp4y1t764,,0,227280, 偿还,mp3,偿还,,,,邓丽君,"贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000206,2021.05.13,BV1Vp4y1t764,,0,248664, 被风吹过的夏天,mp3,被风吹过的夏天,,,,"金莎,林俊杰","贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000207,2021.05.14,BV1Fo4y1m7ci,,0,165072, 吵架歌,mp3,吵架歌,,,,"汪苏泷,Hari荷莉","嘉然,乃琳",完整, 汉语,,,TRUE,,FALSE
A000208,2021.05.14,BV1Fo4y1m7ci,,0,212664, 牛奶面包,mp3,牛奶面包,,,,杨紫,向晚,完整, 汉语,,,TRUE,,FALSE
A000209,2021.05.15,BV1UN411o7L2,,0,275976, 你不知道的事,mp3,你不知道的事,,,,王力宏,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000210,2021.05.15,BV1UN411o7L2,,0,200496, 宁夏,mp3,宁夏,,,,梁静茹,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000211,2021.05.16,BV1Uh411e75j,,0,234840, 勇气,mp3,勇气,,,,棉子,"贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000212,2021.05.16,BV1Uh411e75j,,0,225864, 如果的事,mp3,如果的事,,,,"范玮琪,张韶涵","贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000213,2021.05.19,BV1SK4y197fw,,0,132672, Perfect,mp3,Perfect,,,,,向晚,完整, 英语,,,TRUE,,FALSE
A000214,2021.05.19,BV1SK4y197fw,,0,167400, 我又初恋了 2.0,mp3,我又初恋了,2.0,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000215,2021.05.19,BV1SK4y197fw,,0,94080, 海龟之歌,mp3,海龟之歌,,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000216,2021.05.19,BV1Zq4y177nA,,0,188568, 爱的魔法,mp3,爱的魔法,,,,金莎,嘉然,完整, 汉语,,,TRUE,,FALSE
A000217,2021.05.19,BV1SK4y197fw,,0,104496, 顶碗人评论即兴,mp3,顶碗人评论即兴,,,,冉松,向晚,完整, 汉语,,,TRUE,,FALSE
A000218,2021.05.19,BV1Zq4y177nA,,0,209496, 麋鹿森林,mp3,麋鹿森林,,,,一口甜,嘉然,完整, 汉语,,,TRUE,,FALSE
A000219,2021.05.20,BV1e5411u7PG,,0,292536, 快乐老家,mp3,快乐老家,,,,"唐汉霄,梁龙,张碧晨,吴莫愁",乃琳,完整, 汉语,,,TRUE,,FALSE
A000220,2021.05.20,BV1e5411u7PG,,0,188688, 给我一个吻,mp3,给我一个吻,,,,杨子姗,乃琳,完整, 汉语,,,TRUE,,FALSE
A000221,2021.05.20,BV1e5411u7PG,,0,247848, 羞答答的玫瑰静悄悄地开,mp3,羞答答的玫瑰静悄悄地开,,,,孟庭苇,乃琳,完整, 汉语,,,TRUE,,FALSE
A000222,2021.05.21,BV1wU4y1L7Tc,,0,267264, 이쁘다니까,mp3,이쁘다니까,,,你真漂亮,,"贝拉",完整, 韩语,,,TRUE,,FALSE
A000223,2021.05.21,BV1wU4y1L7Tc,,0,168792, 小情歌,mp3,小情歌,,,,,"向晚",完整, 汉语,,,TRUE,,FALSE
A000224,2021.05.21,BV1wU4y1L7Tc,,0,201912, 彩虹的微笑,mp3,彩虹的微笑,,,,方潇文,"乃琳",完整, 汉语,,,TRUE,,FALSE
A000225,2021.05.21,BV1wU4y1L7Tc,,0,171360, 忽然之间 3.0,mp3,忽然之间,3.0,,,"崔铭珈,阿虾","向晚,贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000226,2021.05.21,BV1wU4y1L7Tc,,0,192792, 恋爱ING,mp3,恋爱ING,,,,,"向晚,贝拉,乃琳",完整, 日语,,,TRUE,,FALSE
A000227,2021.05.22,BV1EN411Z7RU,,0,187416, 小永远,mp3,小永远,,,,,"向晚,贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000228,2021.05.22,BV1EN411Z7RU,,0,273264, 海底,mp3,海底,,,,哇绾绾呀,"贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000229,2021.05.26,BV1eQ4y1R7Q4,,0,222432, 下雨了是我在想你,mp3,下雨了是我在想你,,,,"INTO1-林墨,甘望星,何屹繁,利路修","向晚",完整, 汉语,,,TRUE,,FALSE
A000230,2021.05.26,BV1eQ4y1R7Q4,,0,250344, 下雨天,mp3,下雨天,,,,南拳妈妈,"向晚",完整, 汉语,,,TRUE,,FALSE
A000231,2021.05.26,BV1iK4y1G7oQ,,0,172032, 失恋阵线联盟,mp3,失恋阵线联盟,,,,草蜢,"乃琳",完整, 汉语,,,TRUE,,FALSE
A000232,2021.05.26,BV1iK4y1G7oQ,,0,298656, 当你老了,mp3,当你老了,,,,赵照,"乃琳",完整, 汉语,,,TRUE,,FALSE
A000233,2021.05.26,BV1eQ4y1R7Q4,,0,200256, 找自己,mp3,找自己,,,,,"向晚",完整, 汉语,,,TRUE,,FALSE
A000234,2021.05.27,BV1HV41177wn,,0,283488, 月光,mp3,月光,,,,胡彦斌,"贝拉",完整, 汉语,,,TRUE,,FALSE
A000235,2021.05.27,BV1HV41177wn,,0,156960, 霞光,mp3,霞光,,,,曲锦楠,"贝拉",完整, 汉语,,,TRUE,,FALSE
A000236,2021.05.28,BV1pq4y1j7kh,,0,250440, 倔强,mp3,倔强,,,,五月天,"乃琳",完整, 汉语,,,TRUE,,FALSE
A000237,2021.05.28,BV1pq4y1j7kh,,0,54576, 别看我小,mp3,别看我小,,,,好听动漫,"贝拉,嘉然",完整, 汉语,,,TRUE,,FALSE
A000238,2021.05.28,BV1pq4y1j7kh,,0,288312, 北京东路的日子,mp3,北京东路的日子,,,,周骏柏,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000239,2021.05.28,BV1pq4y1j7kh,,0,238176, 少年,mp3,少年,,,,梦然,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000240,2021.05.28,BV1pq4y1j7kh,,0,111408, 快乐小神仙,mp3,快乐小神仙,,,,,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000241,2021.05.28,BV1pq4y1j7kh,,0,267360, 明天你好,mp3,明天你好,,,,牛奶咖啡,"嘉然,乃琳",完整, 汉语,,,TRUE,,FALSE
A000242,2021.05.28,BV1pq4y1j7kh,,0,292032, 最初的梦想,mp3,最初的梦想,,,,范玮琪,"向晚,贝拉",完整, 汉语,,,TRUE,,FALSE
A000243,2021.05.28,BV1pq4y1j7kh,,0,215112, 最美的期待,mp3,最美的期待,,,,周笔畅,"贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000244,2021.05.29,BV1G5411g7nP,,0,119904, 白羊,mp3,白羊,,,,,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000245,2021.05.29,BV1G5411g7nP,,0,206688, 遇见,mp3,遇见,,,,孙燕姿,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000246,2021.05.30,BV15U4y1L7em,,0,48504, 他不爱我 2.0,mp3,他不爱我,2.0,,,,"向晚,乃琳",完整, 汉语,,,TRUE,,FALSE
A000247,2021.06.02,BV19f4y1b7y6,,0,248112, 一直很安静,mp3,一直很安静,,,,阿桑,珈乐,完整, 汉语,,,TRUE,,FALSE
A000248,2021.06.02,BV19f4y1b7y6,,0,233184, 云烟成雨 4.0,mp3,云烟成雨,4.0,,,房东的猫,珈乐,完整, 汉语,,,TRUE,,FALSE
A000249,2021.06.02,BV19B4y1u7TC,,0,249120, 奇妙能力歌,mp3,奇妙能力歌,,,,陈粒,乃琳,完整, 汉语,,,TRUE,,FALSE
A000250,2021.06.02,BV15A41137QS,,0,88752, 好像掉进爱情海 4.0,mp3,好像掉进爱情海,4.0,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000251,2021.06.02,BV19B4y1u7TC,,0,267240, 小情歌 2.0,mp3,小情歌,2.0,,,鱼丁糸,乃琳,完整, 汉语,,,TRUE,,FALSE
A000252,2021.06.02,BV15A41137QS,,0,147000, 小跳蛙,mp3,小跳蛙,,,,青蛙乐队,向晚,完整, 汉语,,,TRUE,,FALSE
A000253,2021.06.02,BV15A41137QS,,0,75480, 彩虹的微笑 2.0,mp3,彩虹的微笑,2.0,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000254,2021.06.02,BV15A41137QS,,0,187992, 摇滚一下吧,mp3,摇滚一下吧,,,,闫振宇,向晚,完整, 汉语,,,TRUE,,FALSE
A000255,2021.06.02,BV19B4y1u7TC,,0,266352, 爱就一个字,mp3,爱就一个字,,,,张信哲,乃琳,完整, 汉语,,,TRUE,,FALSE
A000256,2021.06.02,BV19B4y1u7TC,,0,210216, 猪猪侠,mp3,猪猪侠,,,,陈洁丽,乃琳,完整, 汉语,,,TRUE,,FALSE
A000257,2021.06.02,BV19f4y1b7y6,,0,267648, 霓虹甜心,mp3,霓虹甜心,,,,马赛克乐队,珈乐,完整, 汉语,,,TRUE,,FALSE
A000258,2021.06.02,BV19f4y1b7y6,,0,176472, 马马嘟嘟骑 2.0,mp3,马马嘟嘟骑,2.0,,,斯斯与帆,珈乐,完整, 汉语,,,TRUE,,FALSE
A000259,2021.06.03,BV1My4y1u7ji,,0,152328, 小年兽,mp3,小年兽,,,,程嘉敏,嘉然,完整, 汉语,,,TRUE,,FALSE
A000260,2021.06.04,BV1yb4y1Z7Jx,,0,180000, God Is A Girl,mp3,God Is A Girl,,,,Groove Coverage,嘉然,完整, 英语,,,TRUE,,FALSE
A000261,2021.06.04,BV1yb4y1Z7Jx,,0,190488, Super Star,mp3,Super Star,,,,S.H.E,"向晚,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000262,2021.06.04,BV1yb4y1Z7Jx,,0,279384, 一生所爱,mp3,一生所爱,,,,"卢冠廷,莫文蔚",乃琳,完整, 汉语,,,TRUE,,FALSE
A000263,2021.06.04,BV1yb4y1Z7Jx,,0,247488, 亲爱的那不是爱情,mp3,亲爱的那不是爱情,,,,张韶涵,向晚,完整, 汉语,,,TRUE,,FALSE
A000264,2021.06.04,BV1yb4y1Z7Jx,,0,316200, 后来,mp3,后来,,,,刘若英,"嘉然,乃琳",完整, 汉语,,,TRUE,,FALSE
A000265,2021.06.04,BV1yb4y1Z7Jx,,0,225792, 客官不可以,mp3,客官不可以,,,,"徐良,小凌","向晚,乃琳",完整, 汉语,,,TRUE,,FALSE
A000266,2021.06.04,BV1yb4y1Z7Jx,,0,1385568, 情歌王,mp3,情歌王,,,,,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000267,2021.06.04,BV1yb4y1Z7Jx,,0,168432, 水母之歌 4.0,mp3,水母之歌,4.0,,,,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000268,2021.06.04,BV1yb4y1Z7Jx,,0,205776, 甜蜜蜜,mp3,甜蜜蜜,,,,邓丽君,"贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000269,2021.06.04,BV1yb4y1Z7Jx,,0,298536, 白狐,mp3,白狐,,,,陈瑞,"贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000270,2021.06.04,BV1yb4y1Z7Jx,,0,219984, 第一次爱的人,mp3,第一次爱的人,,,,王心凌,向晚,完整, 汉语,,,TRUE,,FALSE
A000271,2021.06.04,BV1yb4y1Z7Jx,,0,207792, 粉红色的回忆,mp3,粉红色的回忆,,,,韩宝仪,贝拉,完整, 汉语,,,TRUE,,FALSE
A000272,2021.06.04,BV1yb4y1Z7Jx,,0,226560, 该死的温柔,mp3,该死的温柔,,,,马天宇,"向晚,贝拉,乃琳,嘉然",完整, 汉语,,,TRUE,,FALSE
A000273,2021.06.04,BV1yb4y1Z7Jx,,0,171864, 走过咖啡屋,mp3,走过咖啡屋,,,,千百惠,"贝拉,嘉然",完整, 汉语,,,TRUE,,FALSE
A000274,2021.06.04,BV1yb4y1Z7Jx,,0,119784, 路边的野花不要采,mp3,路边的野花不要采,,,,邓丽君,贝拉,完整, 汉语,,,TRUE,,FALSE
A000275,2021.06.05,BV1FK4y1377J,,0,249480, Scarborough Fair,mp3,Scarborough Fair,,,斯卡布罗集市,Sarah Brightman,贝拉,完整, 英语,,,TRUE,,FALSE
A000276,2021.06.05,BV1FK4y1377J,,0,159936, 找自己 2.0,mp3,找自己,2.0,,,,"向晚,贝拉,嘉然,乃琳",完整, 汉语,,,TRUE,,FALSE
A000277,2021.06.06,BV1Dq4y1j7gf,,0,225456, Sunshine Girl,mp3,Sunshine Girl,,,,沐月 (moumoon),"向晚,贝拉",完整, 英语,,,TRUE,,FALSE
A000278,2021.06.09,BV1h54y1G7AL,,0,189000, Mojito,mp3,Mojito,,,,周杰伦,乃琳,完整, 汉语,,,TRUE,,FALSE
A000279,2021.06.09,BV1h54y1G7AL,,0,212328, 声声慢,mp3,声声慢,,,,,乃琳,完整, 汉语,,,TRUE,,FALSE
A000280,2021.06.09,BV1h54y1G7AL,,0,263064, 小幸运,mp3,小幸运,,,,田馥甄,乃琳,完整, 汉语,,,TRUE,,FALSE
A000281,2021.06.12,BV1LK4y197s4,,0,214656, Count On Me,mp3,Count On Me,,,,Connie Talbot,向晚,完整, 英语,,,TRUE,,FALSE
A000282,2021.06.12,BV1LK4y197s4,,0,157296, Secret  Player,mp3,Secret Player,,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000283,2021.06.12,BV1LK4y197s4,,0,88344, To Someone Loves Me,mp3,To Someone Loves Me,,,,,向晚,完整, 英语,,,TRUE,,FALSE
A000284,2021.06.12,BV1LK4y197s4,,0,243576, ふわふわ時間 2.0,mp3,ふわふわ時間,2.0,,轻飘飘时间,放課後ティータイム (放学后TEA TIME),向晚,完整, 日语,,,TRUE,,FALSE
A000285,2021.06.12,BV1LK4y197s4,,0,227856, 小宇 2.0,mp3,小宇,2.0,,,张震岳,向晚,完整, 汉语,,,TRUE,,FALSE
A000286,2021.06.12,BV1LK4y197s4,,0,211728, 平凡天使,mp3,平凡天使,,,,G.E.M. 邓紫棋,向晚,完整, 汉语,,,TRUE,,FALSE
A000287,2021.06.12,BV1LK4y197s4,,0,195960, 水母之歌 5.0,mp3,水母之歌,5.0,,,"向晚,嘉然Diana","向晚,嘉然",完整, 汉语,,,TRUE,,FALSE
A000288,2021.06.13,BV1z5411K7P2,,0,255768, 但愿人长久,mp3,但愿人长久,,,,王菲,"向晚,贝拉,嘉然,乃琳",完整, 汉语,,,TRUE,,FALSE
A000289,2021.06.16,BV1T5411T7PP,,0,104064, 从头再来,mp3,从头再来,,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000290,2021.06.16,BV1LU4y1G7WD,,0,211224, 告白气球 2.0,mp3,告白气球,2.0,,,周杰伦,乃琳,完整, 汉语,,,TRUE,,FALSE
A000291,2021.06.16,BV1LU4y1G7WD,,0,284304, 小半,mp3,小半,,,,陈粒,乃琳,完整, 汉语,,,TRUE,,FALSE
A000292,2021.06.16,BV1LU4y1G7WD,,0,138840, 小跳蛙,mp3,小跳蛙,,,,青蛙乐队,乃琳,完整, 汉语,,,TRUE,,FALSE
A000293,2021.06.16,BV1LU4y1G7WD,,0,244824, 路过人间,mp3,路过人间,,,,郁可唯,乃琳,完整, 汉语,,,TRUE,,FALSE
A000294,2021.06.17,BV1664y1X7fu,,0,211944, 大小姐,mp3,大小姐,,,,金莎,嘉然,完整, 汉语,,,TRUE,,FALSE
A000295,2021.06.17,BV11B4y1M7py,,0,255336, 欧若拉,mp3,欧若拉,,,,张韶涵,贝拉,完整, 汉语,,,TRUE,,FALSE
A000296,2021.06.17,BV1664y1X7fu,,0,230376, 靠近一点点,mp3,靠近一点点,,,,封茗囧菌,嘉然,完整, 汉语,,,TRUE,,FALSE
A000297,2021.06.18,BV1bq4y1L77P,,0,276168, 樱花草,mp3,樱花草,,,,Sweety,乃琳,完整, 汉语,,,TRUE,,FALSE
A000298,2021.06.19,BV1xf4y187GX,,0,143928, 下个路口见,mp3,下个路口见,,,,"余景天,IXFORM-罗一舟,IXFORM-连淮伟,IXFORM-唐九洲","向晚,贝拉,嘉然,乃琳",完整, 汉语,,,TRUE,,FALSE
A000299,2021.06.19,BV1xf4y187GX,,0,305880, 女儿情,mp3,女儿情,,,,林俊杰,乃琳,完整, 汉语,,,TRUE,,FALSE
A000300,2021.06.20,BV195411K7ES,,0,145512, 阳光男孩阳光女孩,mp3,阳光男孩阳光女孩,,,,TG4,"贝拉,嘉然,乃琳",完整, 汉语,,,TRUE,,FALSE
A000301,2021.06.23,BV1Tg41137VY,,0,342768, 夜空里最亮的星,mp3,夜空里最亮的星,,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000302,2021.06.23,BV1Tg41137VY,,0,248400, 我是一只鱼,mp3,我是一只鱼,,,,任贤齐,向晚,完整, 汉语,,,TRUE,,FALSE
A000303,2021.06.23,BV1iX4y1A7nF,,0,260352, 此生不换,mp3,此生不换,,,,青鸟飞鱼,乃琳,完整, 汉语,,,TRUE,,FALSE
A000304,2021.06.23,BV1Tg41137VY,,0,256704, 淡水鱼,mp3,淡水鱼,,,,黄鲲,向晚,完整, 汉语,,,TRUE,,FALSE
A000305,2021.06.23,BV1iX4y1A7nF,,0,208056, 破茧,mp3,破茧,,,,张韶涵,乃琳,完整, 汉语,,,TRUE,,FALSE
A000306,2021.06.23,BV1iX4y1A7nF,,0,251304, 笑红尘,mp3,笑红尘,,,,陈淑桦,乃琳,完整, 汉语,,,TRUE,,FALSE
A000307,2021.06.24,BV1oq4y1L7h4,,0,187152, 多一点喜欢,mp3,多一点喜欢,,,,王舒,嘉然,完整, 汉语,,,TRUE,,FALSE
A000308,2021.06.24,BV1oq4y1L7h4,,0,201648, 恋爱画板,mp3,恋爱画板,,,,锦零,嘉然,完整, 汉语,,,TRUE,,FALSE
A000309,2021.06.24,BV1oq4y1L7h4,,0,198696, 暗恋,mp3,暗恋,,,,"A1 TRIP,xxxmiracle,阿彻",嘉然,完整, 日语,,,TRUE,,FALSE
A000310,2021.06.25,BV1QU4y1G7D8,,0,1448376, 夏日动漫大串烧,mp3,夏日动漫大串烧,,,,,"向晚,贝拉,嘉然,乃琳",完整, 汉语,,,TRUE,,FALSE
A000311,2021.06.25,BV1QU4y1G7D8,,0,268824, 愛にできることはまだあるかい,mp3,愛にできることはまだあるかい,,,爱能做到的还有什么,多多poi,向晚,完整, 日语,,,TRUE,,FALSE
A000312,2021.06.25,BV1QU4y1G7D8,,0,207240, 海芋恋,mp3,海芋恋,,,,刘瑞琦,乃琳,完整, 汉语,,,TRUE,,FALSE
A000313,2021.06.26,BV1CB4y1K73d,,0,88392, 月亮船,mp3,月亮船,,,,,"向晚,贝拉,嘉然,乃琳",完整, 汉语,,,TRUE,,FALSE
A000314,2021.06.30,BV1H54y1p7mv,,0,222408, 夏天的风 2.0,mp3,夏天的风,2.0,,,温岚,"向晚,嘉然",完整, 汉语,,,TRUE,,FALSE
A000315,2021.06.30,BV1Eb4y1y7bY,,0,125160, 奇迹再现,mp3,奇迹再现,,,,,"贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000316,2021.06.30,BV1Eb4y1y7bY,,0,283344, 月弯弯,mp3,月弯弯,,,,"王晰,周深","贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
A000317,2021.06.30,BV1Eb4y1y7bY,,0,315048, 水星记 5.0,mp3,水星记,5.0,,,郭顶,"贝拉,乃琳",完整, 汉语,,,TRUE,,FALSE
